股票代码,股票名称,除净日,分红方案,截至过户日,最新公告日期,财政年度,分配类型,发放日
0388.HK,香港交易所,2019-03-12,每股派港币3.07元(可选择以股代息),2019/03/14-2019/03/15,2019-04-15,2018,年度分配,
0005.HK,汇丰银行,2019-02-21,每股派美元0.21元(相当于港币1.648044元(计算值))(可选择以股代息),,2019-02-19,2018,年度分配,
0700.HK,腾讯控股,2018-12-28,每3900股分派1股腾讯音乐娱乐集团美国预托股份,2019/01/03-2019/01/04,2018-12-13,2018,特别分配,
0005.HK,汇丰银行,2018-10-11,每股派美元0.1元(相当于港币0.78177元(计算值))(可选择以股代息),,2018-10-23,2018,三季度分配,
1299.HK,友邦保险,2018-09-10,每股派港币0.2920元,,2018-08-24,2018,中期分配,
0883.HK,中国海洋石油,2018-09-06,每股派港币0.30元,2018/09/10-2018/09/14,2018-08-23,2018,中期分配,
0941.HK,中国移动,2018-08-30,每股派人民币1.540元(相当于港币1.826元),2018/09/03-2018/09/05,2018-08-09,2018,中期分配,
0388.HK,香港交易所,2018-08-21,每股派港币3.64元(可选择以股代息),2018/08/23-2018/08/24,2018-09-20,2018,中期分配,
0005.HK,汇丰银行,2018-08-16,每股派美元0.1元(相当于港币0.7850元)(可选择以股代息),,2018-09-19,2018,二季度分配,
1138.HK,中远海能,2018-07-13,每股派人民币0.05元(相当于港币0.05949元),2018/07/17-2018/07/20,2018-06-28,2017,年度分配,
0939.HK,建设银行,2018-07-09,每股派人民币0.291元(相当于港币0.34515479元),2018/07/11-2018/07/16,2018-06-29,2017,年度分配,
1398.HK,工商银行,2018-07-05,每股派人民币0.2408元(相当于港币0.289921元),2018/07/07-2018/07/12,2018-06-26,2017,年度分配,
3968.HK,招商银行,2018-07-04,每股派人民币0.84元(相当于港币1.013514元),2018/07/06-2018/07/11,2018-06-28,2017,年度分配,
1088.HK,中国神华,2018-06-28,每股派人民币0.91元(相当于港币1.127745元),2018/06/30-2018/07/06,2018-06-22,2017,年度分配,
1211.HK,比亚迪股份,2018-06-22,每股派人民币0.141元(相当于港币0.17248元),2018/06/26-2018/07/03,2018-08-09,2017,年度分配,
0883.HK,中国海洋石油,2018-06-07,每股派港币0.30元,2018/06/11-2018/06/15,2018-05-31,2017,年度分配,
0728.HK,中国电信,2018-05-31,每股派港币0.115元,2018/06/04-2018/06/11,2018-05-28,2017,年度分配,
0941.HK,中国移动,2018-05-24,每股派港币1.582元(相当于人民币1.322元),2018/05/28-2018/05/30,2018-05-17,2017,年度分配,
1299.HK,友邦保险,2018-05-23,每股派港币0.7438元,,2018-05-18,2017,年度分配,
0700.HK,腾讯控股,2018-05-18,每股派港币0.88元,2018/05/23-2018/05/24,2018-05-16,2017,年度分配,
1288.HK,农业银行,2018-05-17,每股派人民币0.1783元(相当于港币0.2203275元),2018/05/19-2018/05/24,2018-05-11,2017,年度分配,
0005.HK,汇丰银行,2018-05-17,每股派美元0.1元(相当于港币0.784833元)(可选择以股代息),,2018-07-06,2018,一季度分配,
1347.HK,华虹半导体,2018-05-14,每股派港币0.31元,2018/05/16-2018/05/23,2018-05-10,2017,年度分配,
0388.HK,香港交易所,2018-04-27,每股派港币2.85元(可选择以股代息),2018/05/02-2018/05/03,2018-06-01,2017,年度分配,
0005.HK,汇丰银行,2018-02-22,"每股派美元0.21元(相当于港币1.647262元,可选择以股代息)",,2018-03-26,2017,四季度分配,
0700.HK,腾讯控股,2017-10-18,每1256股分派1股China Literature Ltd.预留股份,2017/10/20-2017/10/20,2017-10-16,2017,特别分配,
0005.HK,汇丰银行,2017-10-12,"每股派美元0.1元(相当于港币0.779845元,可选择以股代息)",,2017-11-23,2017,三季度分配,
0883.HK,中国海洋石油,2017-09-07,每股派港币0.20元,2017/09/11-2017/09/15,2017-08-24,2017,中期分配,
0941.HK,中国移动,2017-08-31,每股派人民币1.409元(相当于港币1.623元),2017/09/04-2017/09/06,2017-08-10,2017,中期分配,
0941.HK,中国移动,2017-08-31,每股派人民币2.777元(相当于港币3.200元),2017/09/04-2017/09/06,2017-08-10,2017,特别分配,
0388.HK,香港交易所,2017-08-22,每股派港币2.55元(可选择以股代息),2017/08/24-2017/08/25,2017-09-21,2017,中期分配,
1299.HK,友邦保险,2017-08-14,每股派港币0.2562元,,2017-07-28,2017,中期分配,
0005.HK,汇丰银行,2017-08-03,每股派美元0.1元(相当于港币0.781282元)(可选择以股代息),,2017-09-13,2017,二季度分配,
1288.HK,农业银行,2017-07-05,每股派人民币0.17元(相当于港币0.1948558元),2017/07/07-2017/07/12,2017-06-28,2016,年度分配,
1398.HK,工商银行,2017-07-03,每股派人民币0.2343元(相当于港币0.267573元),2017/07/05-2017/07/10,2017-08-03,2016,年度分配,
1088.HK,中国神华,2017-06-29,每股派人民币0.46元(相当于港币0.526955元),2017/07/03-2017/07/07,2017-06-23,2016,年度分配,
1088.HK,中国神华,2017-06-29,每股派人民币2.51元(相当于港币2.875341元),2017/07/03-2017/07/07,2017-06-23,2016,特别分配,
0939.HK,建设银行,2017-06-22,每股派人民币0.278元(相当于港币0.31950351元),2017/06/24-2017/06/29,2017-06-15,2016,年度分配,
1138.HK,中远海能,2017-06-16,每股派人民币0.19元(相当于港币0.218035元),2017/06/20-2017/06/30,2017-06-22,2016,年度分配,
1330.HK,绿色动力环保,2017-06-15,每股派人民币0.06元(相当于港币0.068845元),2017/06/19-2017/06/23,2017-06-09,2016,年度分配,
0883.HK,中国海洋石油,2017-06-08,每股派港币0.23元,2017/06/12-2017/06/16,2017-05-26,2016,年度分配,
1211.HK,比亚迪股份,2017-06-08,每股派人民币0.178元(相当于港币0.20310元),2017/06/10-2017/06/15,2017-07-27,2016,年度分配,
3968.HK,招商银行,2017-06-06,每股派人民币0.74元(相当于港币0.838812元),2017/06/08-2017/06/13,2017-05-31,2016,年度分配,
0941.HK,中国移动,2017-06-02,每股派港币1.243元,2017/06/06-2017/06/08,2017-05-25,2016,年度分配,
0728.HK,中国电信,2017-05-26,每股派人民币0.093043元(相当于港币0.105元),2017/05/31-2017/06/05,2017-05-23,2016,年度分配,
0700.HK,腾讯控股,2017-05-19,每股派港币0.61元,2017/05/23-2017/05/24,2017-05-17,2016,年度分配,
0005.HK,汇丰银行,2017-05-18,每股派美元0.10元(可选择以股代息)(相当于港币0.779772元),,2017-07-06,2017,一季度分配,
1299.HK,友邦保险,2017-05-16,每股派港币0.6375元,,2017-05-12,2016,年度分配,
1347.HK,华虹半导体,2017-05-16,每股派港币0.30元,2017/05/18-2017/05/22,2017-05-11,2016,年度分配,
0388.HK,香港交易所,2017-04-28,每股派港币2.04元(可选择以股代息),2017/05/04-2017/05/05,2017-05-09,2016,年度分配,
0005.HK,汇丰银行,2017-02-23,"每股派美元0.21元(可选择以股代息,相当于港币1.631031元,相当于英镑0.166757元)",,2017-04-07,2016,年度分配,
1211.HK,比亚迪股份,2016-11-03,每股派人民币0.367元(相当于港币0.42022元),2016/11/05-2016/11/10,2016-12-05,2016,中期分配,
0005.HK,汇丰银行,2016-10-20,"每股派美元0.1元(相当于港币0.775559元,相当于英镑0.080417元)(可选择以股代息)",,2016-11-30,2016,三季度分配,
0883.HK,中国海洋石油,2016-09-08,每股派港币0.12元,2016/09/12-2016/09/20,2016-08-24,2016,中期分配,
0941.HK,中国移动,2016-09-01,每股派港币1.489元(相当于人民币1.273元),2016/09/05-2016/09/07,2016-08-11,2016,中期分配,
0388.HK,香港交易所,2016-08-23,每股派港币2.21元(可选择以股代息),2016/08/25-2016/08/26,2016-09-23,2016,中期分配,
1299.HK,友邦保险,2016-08-12,每股派港币0.219元,,2016-07-28,2016,中期分配,
0005.HK,汇丰银行,2016-08-11,"每股派美元0.1元(相当于港币0.775761元,相当于英镑0.076633元)(可选择以股代息)",,2016-09-21,2016,二季度分配,
3968.HK,招商银行,2016-07-05,"每股派人民币0.69元(相当于港币0.810497元,0.85133)",2016/07/07-2016/07/12,2016-06-29,2015,年度分配,
1288.HK,农业银行,2016-06-29,每股派人民币0.1668元(相当于港币0.1950375元),2016/07/01-2016/07/06,2016-06-28,2015,年度分配,
1398.HK,工商银行,2016-06-29,每股派人民币0.2333元(相当于港币0.275147元),2016/07/01-2016/07/07,2016-06-24,2015,年度分配,
1088.HK,中国神华,2016-06-23,每股派人民币0.32元(相当于港币0.377590元),2016/06/27-2016/07/01,2016-06-17,2015,年度分配,
1330.HK,绿色动力环保,2016-06-23,每股派人民币0.03元(相当于港币0.03541元),2016/06/25-2016/06/30,2016-06-20,2015,年度分配,
0939.HK,建设银行,2016-06-22,每股派人民币0.274元(相当于港币0.32311702元),2016/06/24-2016/06/29,2016-06-17,2015,年度分配,
0883.HK,中国海洋石油,2016-06-08,每股派港币0.25元(含税),2016/06/13-2016/06/17,2016-05-26,2015,年度分配,
0941.HK,中国移动,2016-06-02,每股派港币1.196元(相当于人民币1.002元),2016/06/06-2016/06/08,2016-05-26,2015,年度分配,
1138.HK,中远海能,2016-06-01,每股派人民币0.1元(相当于港币0.11856元),2016/06/03-2016/06/13,2016-05-20,2015,年度分配,
0728.HK,中国电信,2016-05-30,每股派人民币0.080182元(相当于港币0.095元),2016/06/01-2016/06/06,2016-05-25,2015,年度分配,
0700.HK,腾讯控股,2016-05-20,每股派港币0.47元,2016/05/24-2016/05/25,2016-05-18,2015,年度分配,
0005.HK,汇丰银行,2016-05-19,"每股派美元0.1元(相当于港币0.775746元,相当于英镑0.075421元)(可选择以股代息)",,2016-06-29,2016,一季度分配,
1347.HK,华虹半导体,2016-05-13,每股派港币0.27元,2016/05/17-2016/05/19,2016-05-11,2015,年度分配,
1299.HK,友邦保险,2016-05-10,每股派港币0.51元,,2016-05-06,2015,年度分配,
0388.HK,香港交易所,2016-05-03,每股派港币2.87元(可选择以股代息),2016/05/05-2016/05/06,2016-06-02,2015,年度分配,
0005.HK,汇丰银行,2016-03-03,每股派美元0.21元(相当于港币1.6287元)(可选择以股代息),,2016-03-10,2015,年度分配,
0005.HK,汇丰银行,2015-10-22,每股派美元0.1元(可选择以股代息)(相当于港币0.7749元),,2015-11-26,2015,三季度分配,
0883.HK,中国海洋石油,2015-09-10,每股派港币0.25元,2015/09/14-2015/09/18,2015-08-26,2015,中期分配,
0941.HK,中国移动,2015-09-07,每股派港币1.525元,2015/09/09-2015/09/11,2015-08-20,2015,中期分配,
0388.HK,香港交易所,2015-08-25,每股派港币3.08元(可选择以股代息),2015/08/27-2015/08/28,2015-09-24,2015,中期分配,
0005.HK,汇丰银行,2015-08-13,每股派美元0.1元(可选择以股代息)(相当于港币0.7749元),,2015-10-02,2015,二季度分配,
1299.HK,友邦保险,2015-08-11,每股派港币0.1872元,,2015-07-24,2015,中期分配,
1288.HK,农业银行,2015-07-02,每股派人民币0.182元（相当于港币0.2306717元）,2015/07/04-2015/07/09,2015-06-29,2014,年度分配,
1398.HK,工商银行,2015-06-29,每股派人民币0.2554元(相当于港币0.32404元),2015/07/01-2015/07/06,2015-03-26,2014,年度分配,
1138.HK,中远海能,2015-06-24,每股派人民币0.03元(相当于港币0.0380元),2015/06/26-2015/07/02,2015-06-18,2014,年度分配,
3968.HK,招商银行,2015-06-24,每股派港币0.849531元(相当于人民币0.67元),2015/06/26-2015/07/02,2015-06-19,2014,年度分配,
0939.HK,建设银行,2015-06-23,每股派人民币0.301元(相当于港币0.3815元),2015/06/25-2015/06/30,2015-06-15,2014,年度分配,
0883.HK,中国海洋石油,2015-06-04,每股派港币0.32元,2015/06/08-2015/06/12,2015-05-21,2014,年度分配,
1088.HK,中国神华,2015-06-04,每股派人民币0.74元(相当于港币0.9381元),2015/06/08-2015/06/12,2015-05-29,2014,年度分配,
0941.HK,中国移动,2015-06-04,每股派港币1.38元,2015/06/08-2015/06/10,2015-05-28,2014,年度分配,
0728.HK,中国电信,2015-06-01,每股派港币0.095元,2015/06/03-2015/06/08,2015-05-27,2014,年度分配,
0005.HK,汇丰银行,2015-05-21,每股派美元0.1元(可选择以股代息)(相当于港币0.7752元),,2015-05-05,2015,一季度分配,
0700.HK,腾讯控股,2015-05-15,每股派港币0.36元,2015/05/19-2015/05/20,2015-05-13,2014,年度分配,
1299.HK,友邦保险,2015-05-12,每股派港币0.34元,,2015-05-08,2014,年度分配,
0388.HK,香港交易所,2015-05-04,每股派港币2.15元(可选择以股代息),2015/05/06-2015/05/07,2015-04-29,2014,年度分配,
0005.HK,汇丰银行,2015-03-05,每股派美元0.2元(可选择以股代息)(相当于港币1.5520元),,2015-02-23,2014,年度分配,
0005.HK,汇丰银行,2014-10-23,每股派美元0.1元(可选择以股代息)(相当于港币0.7755元),,2014-10-06,2014,三季度分配,
0883.HK,中国海洋石油,2014-09-11,每股派港币0.25元,2014/09/15-2014/09/19,2014-08-28,2014,中期分配,
0941.HK,中国移动,2014-09-04,每股派港币1.54元,2014/09/08-2014/09/11,2014-08-14,2014,中期分配,
0005.HK,汇丰银行,2014-08-20,每股派美元0.1元(可选择以股代息)(相当于港币0.7765元),,2014-08-04,2014,二季度分配,
0388.HK,香港交易所,2014-08-19,每股派港币1.83元(可选择以股代息),2014/08/21-2014/08/22,2014-08-06,2014,中期分配,
1299.HK,友邦保险,2014-08-12,每股派港币0.16元,,2014-07-25,2014,中期分配,
1088.HK,中国神华,2014-07-03,每股派人民币0.91元(相当于港币1.1460元),2014/07/07-2014/07/11,2014-06-27,2013,年度分配,
3968.HK,招商银行,2014-07-03,每股派港币0.780921元(相当于人民币0.62元),2014/07/05-2014/07/10,2014-06-30,2013,年度分配,
0939.HK,建设银行,2014-07-02,每股派人民币0.3元(相当于港币0.3778元),2014/07/04-2014/07/09,2014-06-26,2013,年度分配,
1211.HK,比亚迪股份,2014-07-02,每股派人民币0.05元(相当于港币0.0629元),2014/07/04-2014/07/09,2014-06-25,2013,年度分配,
1288.HK,农业银行,2014-06-25,每股派人民币0.177元(相当于港币0.22287元),2014/06/27-2014/07/02,2014-06-23,2013,年度分配,
1398.HK,工商银行,2014-06-12,每股派人民币0.2617元(相当于港币0.330354元(计算值)),2014/06/14-2014/06/19,2014-04-15,2013,年度分配,
0883.HK,中国海洋石油,2014-06-05,每股派港币0.32元,2014/06/09-2014/06/13,2014-05-23,2013,年度分配,
0728.HK,中国电信,2014-06-04,每股派港币0.095元,2014/06/06-2014/06/11,2014-05-29,2013,年度分配,
0941.HK,中国移动,2014-05-27,每股派港币1.615元,2014/05/29-2014/06/03,2014-05-22,2013,年度分配,
0005.HK,汇丰银行,2014-05-21,每股派美元0.1元(可选择以股代息)(相当于港币0.7751元),,2014-05-07,2014,一季度分配,
0700.HK,腾讯控股,2014-05-16,每股派港币0.24元,2014/05/20-2014/05/21,2014-05-14,2013,年度分配,
1299.HK,友邦保险,2014-05-13,每股派港币0.2862元,,2014-05-09,2013,年度分配,
0388.HK,香港交易所,2014-04-22,每股派港币1.72元(可选择以股代息),2014/04/24-2014/04/25,2014-04-16,2013,年度分配,
0005.HK,汇丰银行,2014-03-12,每股派美元0.19元(可选择以股代息)(相当于港币1.4730元),,2014-02-24,2013,年度分配,
0005.HK,汇丰银行,2013-10-23,每股派美元0.1元(可选择以股代息)(相当于港币0.7752元),,2013-10-07,2013,三季度分配,
0941.HK,中国移动,2013-09-05,每股派港币1.696元,2013/09/09-2013/09/11,2013-08-27,2013,中期分配,
0883.HK,中国海洋石油,2013-09-05,每股派港币0.25元,2013/09/09-2013/09/13,2013-08-20,2013,中期分配,
0388.HK,香港交易所,2013-08-27,每股派港币1.82元(可选择以股代息),2013/08/29-2013/08/30,2013-08-26,2013,中期分配,
0005.HK,汇丰银行,2013-08-21,每股派美元0.1元(可选择以股代息)(相当于港币0.7754元),,2013-08-05,2013,二季度分配,
1299.HK,友邦保险,2013-08-08,每股派港币0.1393元,2013/08/12-2013/08/14,2013-07-26,2013,中期分配,
1088.HK,中国神华,2013-06-27,每股派人民币0.96元(相当于港币1.2085元),2013/07/01-2013/07/05,2013-06-24,2012,年度分配,
1288.HK,农业银行,2013-06-20,每股派人民币0.1565元(相当于港币0.1969693元),2013/06/22-2013/06/27,2013-06-19,2012,年度分配,
1398.HK,工商银行,2013-06-17,每股派人民币0.239元(相当于港币0.295642元(计算值)),2013/06/19-2013/06/25,2013-06-08,2012,年度分配,
0939.HK,建设银行,2013-06-13,每股派人民币0.268元(相当于港币0.33687386元),2013/06/15-2013/06/20,2013-06-07,2012,年度分配,
0941.HK,中国移动,2013-06-04,每股派港币1.778元,2013/06/06-2013/06/10,2013-05-31,2012,年度分配,
0728.HK,中国电信,2013-06-04,每股派人民币0.067135元(相当于港币0.085元),2013/06/06-2013/06/11,2013-05-30,2012,年度分配,
3968.HK,招商银行,2013-06-04,每股派人民币0.63元(相当于港币0.791183元),2013/06/06-2013/06/11,2013-06-04,2012,年度分配,
0883.HK,中国海洋石油,2013-05-30,每股派港币0.32元,2013/06/03-2013/06/07,2013-05-27,2012,年度分配,
0005.HK,汇丰银行,2013-05-22,每股派美元0.1元(相当于港币0.7754元)(可选择以股代息、汇率美元1.00元:港币7.75485元及英镑1.00元:美元1.519725元),,2013-05-07,2013,一季度分配,
0700.HK,腾讯控股,2013-05-20,每股派港币1元,2013/05/22-2013/05/23,2013-05-16,2012,年度分配,
1299.HK,友邦保险,2013-05-14,每股派港币0.2467元,,2013-05-13,2012,年度分配,
0388.HK,香港交易所,2013-04-26,每股派港币1.46元(可选择以股代息),2013/04/30-2013/05/02,2013-06-03,2012,年度分配,
0005.HK,汇丰银行,2013-03-20,每股派美元0.18元(相当于港币1.3972元)(可选择以股代息),,2013-05-09,2012,年度分配,
0005.HK,汇丰银行,2012-10-24,每股派美元0.09元(相当于港币0.6975元)(可选择以股代息、汇率美元1.00元:港币7.7500元及英镑1.00元:美元1.60594元),,2013-03-29,2012,特别分配,
0883.HK,中国海洋石油,2012-09-06,每股派港币0.15元,2012/09/10-2012/09/14,2012-08-22,2012,中期分配,
0941.HK,中国移动,2012-09-06,每股派港币1.633元,2012/09/10-2012/09/12,2012-08-17,2012,中期分配,
0388.HK,香港交易所,2012-08-21,每股派港币1.85元(可选择以股代息),2012/08/23-2012/08/24,2012-09-21,2012,中期分配,
0005.HK,汇丰银行,2012-08-15,每股派美元0.09元(相当于港币0.6977元)(可选择以股代息、汇率美元1.00元:港币7.7527元),2012/08/17-2012/08/17,2013-03-29,2012,二季度分配,
1299.HK,友邦保险,2012-08-09,每股派港币0.1233元,2012/08/13-2012/08/15,2012-07-27,2012,中期分配,
0939.HK,建设银行,2012-06-14,每股派人民币0.2365元(汇率港币1.00元:人民币0.81419元)(相当于港币0.2904元),2012/06/16-2012/06/21,2012-09-11,2011,年度分配,
1288.HK,农业银行,2012-06-12,每股派人民币0.1315元(汇率港币1.00元:人民币0.81446元)(相当于港币0.16145元),2012/06/14-2012/06/19,2012-09-12,2011,年度分配,
1398.HK,工商银行,2012-06-06,每股派人民币0.203元(相当于港币0.250435元(计算值)),2012/06/08-2012/06/13,2012-06-04,2011,年度分配,
0728.HK,中国电信,2012-06-05,每股派港币0.085元,2012/06/07-2012/06/12,2012-06-01,2011,年度分配,
3968.HK,招商银行,2012-06-01,每股派港币0.515441元(相当于每股派人民币0.42元),2012/06/05-2012/06/10,2012-09-12,2011,年度分配,
1088.HK,中国神华,2012-05-31,每股派人民币0.9元(相当于港币1.1064元),2012/06/04-2012/06/08,2013-01-04,2011,年度分配,
0883.HK,中国海洋石油,2012-05-30,每股派港币0.28元,2012/06/01-2012/06/06,2012-05-26,2011,年度分配,
1138.HK,中远海能,2012-05-22,每股派人民币0.1元(相当于港币0.1228元),2012/05/24-2012/05/29,2012-05-21,2011,年度分配,
0941.HK,中国移动,2012-05-21,每股派港币1.747元,2012/05/23-2012/05/25,2012-05-17,2011,年度分配,
0700.HK,腾讯控股,2012-05-18,每股派港币0.75元,2012/05/22-2012/05/23,2012-05-17,2011,年度分配,
0005.HK,汇丰银行,2012-05-16,每股派美元0.09元(相当于港币0.6983元)(可选择以股代息),,2013-03-29,2012,特别分配,
1299.HK,友邦保险,2012-05-10,每股派港币0.22元,2012/05/11-2012/05/11,2012-05-09,2011,年度分配,
0388.HK,香港交易所,2012-04-25,每股派港币2.09元(可选择以股代息),2012/04/27-2012/04/30,2012-06-04,2011,年度分配,
0005.HK,汇丰银行,2012-03-14,每股派美元0.14元(相当于港币1.0864元)(可选择以股代息),2012/03/16-2012/03/16,2013-03-29,2011,年度分配,
0005.HK,汇丰银行,2011-11-23,每股派美元0.09元(相当于港币0.6988元)(可选择以股代息),,2013-03-29,2011,特别分配,
0941.HK,中国移动,2011-09-08,每股派港币1.58元,2011/09/12-2011/09/15,2011-08-18,2011,中期分配,
0883.HK,中国海洋石油,2011-09-05,每股派港币0.25元,2011/09/07-2011/09/14,2011-08-24,2011,中期分配,
0388.HK,香港交易所,2011-08-24,每股派港币2.16元(可选择以股代息),2011/08/26-2011/08/30,2011-10-08,2011,中期分配,
0005.HK,汇丰银行,2011-08-17,每股派美元0.09元(相当于港币0.7016元)(可选择以股代息),2011/08/19-2011/08/19,2013-03-29,2011,二季度分配,
1299.HK,友邦保险,2011-08-11,每股派港币0.11元,2011/08/15-2011/08/17,2011-07-29,2011,中期分配,
0939.HK,建设银行,2011-06-16,每股派人民币0.2122元(含税)(相当于港币0.2547元),2011/06/18-2011/06/23,2011-06-10,2010,年度分配,
1288.HK,农业银行,2011-06-09,每股派人民币0.054元(相当于港币0.064172元(计算值)),2011/06/11-2011/06/16,2011-06-09,2010,年度分配,
1398.HK,工商银行,2011-06-07,"每股派人民币0.184元(相当于港币0.220708元,汇率0.83368)",2011/06/09-2011/06/14,2011-07-08,2010,年度分配,
0005.HK,汇丰银行,2011-05-18,每股派美元0.09元(相当于港币0.7008元)(可选择以股代息),,2013-03-29,2011,特别分配,
0883.HK,中国海洋石油,2011-05-18,每股派港币0.25元,2011/05/20-2011/05/27,2011-05-27,2010,年度分配,
0941.HK,中国移动,2011-05-13,每股派港币1.597元,2011/05/17-2011/05/19,2011-06-07,2010,年度分配,
0700.HK,腾讯控股,2011-05-03,每股派港币0.55元,2011/05/05-2011/05/11,2011-07-13,2010,年度分配,
3968.HK,招商银行,2011-04-28,每股派港币0.347488元(相当于人民币0.29元),2011/04/30-2011/05/30,2012-06-18,2010,年度分配,
